Month;M;SD;;;;;;
0;49,8842;1,8931;;;;;;
1;54,7244;1,9465;;;;;;
2;58,4249;2,0005;;;;;;
3;61,4292;2,0444;;;;;;
4;63,886;2,0808;;;;;;
5;65,9026;2,1115;;;;;;
6;67,6236;2,1403;;;;;;
7;69,1645;2,1711;;;;;;
8;70,5994;2,2055;;;;tb;tb ukur;50
9;71,9687;2,2433;;;;m;mean;54,7244
10;73,2812;2,2849;;;;sd;st deviasi;1,9465
11;74,5388;2,3293;;;;;;
12;75,7488;2,3762;;;;;z;-2,42712561
13;76,9186;2,426;;;;;;
14;78,0497;2,4773;;;;;;
15;79,1458;2,5303;;;;;;
16;80,2113;2,5844;;;;;;
17;81,2487;2,6406;;;;;;
18;82,2587;2,6973;;;;;;
19;83,2418;2,7553;;;;;;
20;84,1996;2,814;;;;;;
21;85,1348;2,8742;;;;;;
22;86,0477;2,9342;;;;;;
23;86,941;2,9951;;;;;;
24;87,1161;3,0551;;;;;;
25;87,972;3,116;;;;;;
26;88,8065;3,1757;;;;;;
27;89,6197;3,2353;;;;;;
28;90,412;3,2928;;;;;;
29;91,1828;3,3501;;;;;;
30;91,9327;3,4052;;;;;;
31;92,6631;3,4591;;;;;;
32;93,3753;3,5118;;;;;;
33;94,0711;3,5625;;;;;;
34;94,7532;3,612;;;;;;
35;95,4236;3,6604;;;;;;
36;96,0835;3,7069;;;;;;
37;96,7337;3,7523;;;;;;
38;97,3749;3,7976;;;;;;
39;98,0073;3,8409;;;;;;
40;98,631;3,8831;;;;;;
41;99,2459;3,9242;;;;;;
42;99,8515;3,9651;;;;;;
43;100,4485;4,0039;;;;;;
44;101,0374;4,0435;;;;;;
45;101,6186;4,081;;;;;;
46;102,1933;4,1194;;;;;;
47;102,7625;4,1567;;;;;;
48;103,3273;4,1941;;;;;;
49;103,8886;4,2314;;;;;;
50;104,4473;4,2677;;;;;;
51;105,0041;4,3052;;;;;;
52;105,5596;4,3417;;;;;;
53;106,1138;4,3783;;;;;;
54;106,6668;4,4149;;;;;;
55;107,2188;4,4517;;;;;;
56;107,7697;4,4886;;;;;;
57;108,3198;4,5245;;;;;;
58;108,8689;4,5616;;;;;;
59;109,417;4,5977;;;;;;
60;109,9638;4,6339;;;;;;
